,age,weekly_gaming_hours,sleep_hours_last_night,games_played,total_plays,overall_performance,overall_best_performance,Memory,Attention,Reflex,Perception,Learning,Reasoning
age,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,51.0,51.0,41.0,46.0,49.0
weekly_gaming_hours,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,51.0,51.0,41.0,46.0,49.0
sleep_hours_last_night,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,51.0,51.0,41.0,46.0,49.0
games_played,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,51.0,51.0,41.0,46.0,49.0
total_plays,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,51.0,51.0,41.0,46.0,49.0
overall_performance,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,51.0,51.0,41.0,46.0,49.0
overall_best_performance,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,51.0,51.0,41.0,46.0,49.0
Memory,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,51.0,41.0,46.0,48.0
Attention,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,40.0,45.0,47.0
Reflex,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,51.0,41.0,45.0,47.0
Perception,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0,41.0,40.0,40.0
Learning,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0,45.0,40.0,46.0,45.0
Reasoning,49.0,49.0,49.0,49.0,49.0,49.0,49.0,48.0,47.0,47.0,40.0,45.0,49.0
