game_id,game_title,game_type,cognitive_skills,participants,total_plays,average_plays_per_player,participation_percent
0,Cipher Rush,minigame,Attention;Reflex,3,6,2.0,50.0
1,Match-a-Mole,minigame,Reflex;Attention,4,5,1.25,66.67
2,"Good Guy, Bad Guy",minigame,Memory,3,4,1.33,50.0
3,Feed The Fishes,minigame,Memory;Attention,2,3,1.5,33.33
4,Train of Thoughts,minigame,Reflex;Reasoning,2,3,1.5,33.33
6,Wordify,minigame,Learning,2,3,1.5,33.33
7,Find Me If You Can,minigame,Perception,1,1,1.0,16.67
12,"Faster, Please",minigame,Reflex,1,1,1.0,16.67
13,Wordle,minigame,Learning;Reasoning,1,1,1.0,16.67
18,Stop The Clock,minigame,Reflex,1,1,1.0,16.67
19,Odd One Out,minigame,Reasoning,1,3,3.0,16.67
30,Level 1,level,Reflex;Attention,1,2,2.0,16.67
