player_id,games_played,total_plays,games_played_percent
077bcac6-9226-4522-b11c-85f5d5a32cd1,7,11,28.0
093af538-a039-4ea3-b6b6-d1243b9e0b1a,9,9,36.0
0bf036d7-653e-4845-b973-cccc45b51984,10,16,40.0
116cc9df-3972-418f-8b08-06dbc9fdb86b,18,54,72.0
11e71038-d788-41ef-94c1-8a710d21ddaf,3,3,12.0
1d638396-0c39-4bb7-9ac6-68bc1a59d585,25,92,100.0
2500f14f-bd64-4e2b-a235-f69ea95609ec,17,23,68.0
263c474c-b7dd-43c5-9557-4da49755a00d,24,42,96.0
2a38dbe1-3ef4-4e4e-b02b-c2871e68216b,9,24,36.0
2f63d0f5-3731-4e44-87b3-2e5ba8b306d6,3,4,12.0
33d08ff5-31e3-44b9-9100-e1ae687fd601,1,1,4.0
3477a1f7-268c-4987-8614-5a1ac6bbbfec,20,27,80.0
354e20d4-599b-42fc-a2b0-122ca4feb2d9,17,24,68.0
364223cd-b583-4eeb-87c7-478c7c0debf4,11,31,44.0
36f8a2f6-7625-4ceb-aca1-6949807b6339,8,14,32.0
3b1b8792-4d96-47cb-ab4b-86aae21e1ace,25,53,100.0
42e366fd-7fbd-4312-ae4b-f4856249d7b5 (1),15,22,60.0
45eac662-3ea6-4f0a-a327-18910895411d,8,23,32.0
4b128ac4-f4f1-43d6-8973-602d566d7c96,11,27,44.0
4d6edd3c-f110-45e5-ab53-2b4063a425c0,21,38,84.0
517b9976-d2ab-40bb-b250-cfce5e299567,11,39,44.0
531f7fa4-c3a8-4bd6-abc5-df42340b1a3c,24,60,96.0
5414e0d6-f807-44bb-948c-00eb2056c359,7,13,28.0
54716eaf-ebd2-4b23-8374-4a9e022d81ad (1),4,7,16.0
5584c4ec-9108-479e-885a-ec94c3badae0,12,26,48.0
578f0064-ba44-4300-ba13-5bfa94e295aa,15,22,60.0
5aa663da-2ff5-44a1-9b9b-bfbc1e981d0e,21,41,84.0
5b190361-fc48-47f8-b155-85daa06d2d0c,19,48,76.0
5fb34995-9d6e-4292-913d-ebcafd0ca34a,18,32,72.0
61db4526-1302-49fc-84ce-0954cf692242,7,9,28.0
69939284-767a-458d-aeef-e759fc62a7d9,9,9,36.0
6c099074-1829-46a4-887a-6e61102bfe7f,23,83,92.0
6c5ae84a-2357-43f8-9c88-c4c67c37865b,3,5,12.0
74eb4edc-7eb3-4a6a-af1f-33bd4fcaf373,7,19,28.0
7b116dad-c57d-4ce7-938d-85753438907b,22,78,88.0
7e44185a-6c68-4f60-87b9-6319e7d28b67,21,58,84.0
810ca908-97fc-4b8b-bd96-558aec50495e,17,55,68.0
83135a45-0ab1-4951-9342-c602aad72c63,16,26,64.0
84d609a1-25fe-4bd7-9e7c-99fcbf878260,12,27,48.0
8bd9d256-3ef1-4985-8c28-deb7a3a88f77,23,49,92.0
9208b64b-3197-42c2-ae8d-f6528747ccd5,15,28,60.0
92cd5243-d6ad-464c-9a4f-b3998fa12823,13,27,52.0
92ec5e80-9c5e-4c54-8741-2155600d414b,23,45,92.0
9751f248-ddc4-463f-bc1b-bec70fac7665,9,15,36.0
9759c076-e161-4729-be6c-6bd12de352d7,14,15,56.0
b2438e5a-3695-481a-b632-6eb4d36951c6,20,38,80.0
b39e2975-afda-44c3-a522-dd04297fb7f4,18,43,72.0
bd46da7d-cd0f-46ad-9cde-ea710c04a03e,20,27,80.0
c3f06e5c-6d66-481d-992a-6c0e6e0fb675,11,27,44.0
c3fd7050-c00a-40a6-9f8d-e0604919e838,23,43,92.0
cd35c371-0797-4e9c-8e4f-a32f7f8d8568,13,20,52.0
d729b756-1f75-49ad-b6a9-9c3b53c6f070,7,19,28.0
fc001865-08c0-43c1-ac15-a62bd7a75886,7,12,28.0
