,age,weekly_gaming_hours,sleep_hours_last_night,games_played,total_plays,overall_performance,overall_best_performance,Memory,Attention,Reflex,Perception,Learning,Reasoning
age,0.9999999999999999,0.05701463101320308,0.1394654496164711,-0.02761759633834379,-0.02781474000897639,0.2504659540020794,0.2754538922702025,0.20553161045816626,0.26384554014393,0.30663722892809653,0.12168389196923193,0.1911382271055592,0.36850041383672405
weekly_gaming_hours,0.05701463101320308,1.0,0.0036641360219350876,0.04885296636367085,0.07991691867661091,0.00876640248334938,-0.02711198648823947,-0.03606082481038845,0.14722079853782438,0.14875017923871325,-0.06350414756031343,-0.06206310965063836,-0.06082686520016273
sleep_hours_last_night,0.1394654496164711,0.003664136021935088,1.0,0.014914503812490616,0.05718208204643942,0.1798258621408267,0.20750036170405778,0.1636423196844624,0.09825191307884186,0.08394764378884745,0.1563056208754996,0.2516021368067317,0.24875888597734694
games_played,-0.02761759633834379,0.04885296636367085,0.014914503812490616,1.0,0.8880270132324823,0.1390057481542284,0.17022412242719887,-0.13221148033515004,0.02006604594202976,0.09678007761004934,0.06521473848552081,0.22004418923541214,0.19878699571218897
total_plays,-0.027814740008976387,0.07991691867661092,0.057182082046439424,0.8880270132324825,0.9999999999999999,-0.024582106242984573,0.05789809023347659,-0.26862624799746304,-0.13609254222638886,-0.03609955903651239,-0.08914432531841734,0.057357118615675926,0.08741122621641553
overall_performance,0.2504659540020794,0.00876640248334938,0.1798258621408267,0.1390057481542284,-0.02458210624298457,1.0,0.9665818686401481,0.885375494071146,0.8532279314888009,0.8912223833011079,0.8352941176470589,0.7639074598061512,0.8228222996515681
overall_best_performance,0.2754538922702025,-0.027111986488239467,0.20750036170405778,0.17022412242719887,0.0578980902334766,0.9665818686401481,1.0,0.8310935441370224,0.8274044795783925,0.8766341314156636,0.8523809523809525,0.7883797259418739,0.8411149825783973
Memory,0.20553161045816626,-0.03606082481038845,0.16364231968446238,-0.13221148033515004,-0.268626247997463,0.885375494071146,0.8310935441370224,0.9999999999999999,0.8139657444005269,0.8031995494609148,0.8238095238095239,0.6643146484806575,0.6727954971857412
Attention,0.26384554014393,0.1472207985378244,0.09825191307884186,0.02006604594202976,-0.1360925422263889,0.8532279314888009,0.8274044795783925,0.8139657444005269,0.9999999999999999,0.9150428139159882,0.7355742296918768,0.5495883972284904,0.6138836772983115
Reflex,0.30663722892809653,0.14875017923871325,0.08394764378884746,0.09678007761004934,-0.03609955903651239,0.8912223833011079,0.8766341314156636,0.8031995494609147,0.9150428139159882,0.9999999999999999,0.6952380952380953,0.5374548530702691,0.6914979757085021
Perception,0.12168389196923195,-0.06350414756031342,0.1563056208754996,0.06521473848552081,-0.08914432531841734,0.8352941176470589,0.8523809523809525,0.8238095238095239,0.7355742296918768,0.6952380952380953,1.0,0.8191611300551584,0.670788770053476
Learning,0.1911382271055592,-0.06206310965063837,0.2516021368067317,0.22004418923541214,0.05735711861567593,0.7639074598061512,0.7883797259418738,0.6643146484806575,0.5495883972284905,0.5374548530702691,0.8191611300551583,0.9999999999999999,0.6308011547124033
Reasoning,0.368500413836724,-0.060826865200162734,0.2487588859773469,0.198786995712189,0.08741122621641555,0.8228222996515681,0.8411149825783973,0.6727954971857412,0.6138836772983115,0.6914979757085021,0.670788770053476,0.6308011547124033,1.0
