,age,weekly_gaming_hours,sleep_hours_last_night,games_played,total_plays,overall_performance,overall_best_performance,Memory,Attention,Reflex,Perception,Learning,Reasoning
age,0.0,0.40815467914003156,0.19337704085328536,0.4225993213328115,0.9319939244139057,0.7130233604417759,0.679886462845523,0.9424346390472734,0.9058483317014913,0.8346860623837025,0.9489723658129848,0.06387199513026258,0.3306071924412683
weekly_gaming_hours,0.40815467914003156,0.0,0.6753302162898884,0.37520162309497007,0.5978981967662725,0.39969399260569494,0.586461536295846,0.6326616275559559,0.5921045808617427,0.6585297655436652,0.4456237200663794,0.2086175762596492,0.44892783958764415
sleep_hours_last_night,0.19337704085328536,0.6753302162898884,0.0,0.7159454176496797,0.8310182766484085,0.06049414378610473,0.037286548695239334,0.16361333136808828,0.163578661145547,0.07433916537479984,0.04341764688435314,0.3761331718066389,0.05727774440854895
games_played,0.4225993213328115,0.3752016230949699,0.7159454176496797,0.0,1.5338148548067308e-18,0.5394061684966558,0.7989577843234674,0.5519573700882855,0.32887699135588366,0.6160338821936404,0.5764283504538964,0.2422773090088187,0.5705627873908716
total_plays,0.9319939244139057,0.5978981967662725,0.8310182766484085,1.533814854806701e-18,0.0,0.43840919002875023,0.8895971189398856,0.24758578584850993,0.17345391761426984,0.7379365293062692,0.9336064641849666,0.5817211123957295,0.700337308077224
overall_performance,0.7130233604417759,0.39969399260569494,0.06049414378610473,0.5394061684966558,0.43840919002875023,0.0,1.3115088326185206e-30,9.218330612872177e-27,2.494076294021395e-24,3.0851182945571766e-28,7.071711019500463e-18,3.771120113829784e-14,6.299181805930275e-18
overall_best_performance,0.679886462845523,0.586461536295846,0.037286548695239334,0.7989577843234674,0.8895971189398856,1.3115088326185206e-30,0.0,2.4047865964163163e-21,5.37134029761741e-22,4.000309430275049e-25,2.897141303760503e-17,4.633994176106426e-12,4.017985666331366e-17
Memory,0.9424346390472734,0.6326616275559559,0.16361333136808828,0.5519573700882855,0.24758578584850993,9.218330612872177e-27,2.4047865964163163e-21,0.0,8.927299704155232e-23,5.5493651065159746e-18,1.6058688717298324e-18,5.09788605487371e-10,1.702369765039878e-11
Attention,0.9058483317014913,0.5921045808617427,0.16357866114554698,0.32887699135588366,0.17345391761426984,2.494076294021395e-24,5.37134029761741e-22,8.927299704155232e-23,0.0,2.3582660220726562e-21,1.3154474955314791e-13,1.631500856561342e-09,9.437915604777571e-11
Reflex,0.8346860623837025,0.6585297655436652,0.07433916537479984,0.6160338821936404,0.7379365293062692,3.0851182945571766e-28,4.000309430275049e-25,5.5493651065159746e-18,2.3582660220726562e-21,0.0,1.1882098978122219e-11,9.073309282557636e-12,8.16821881841362e-18
Perception,0.9489723658129848,0.4456237200663794,0.04341764688435307,0.5764283504538964,0.9336064641849666,7.071711019500463e-18,2.897141303760503e-17,1.6058688717298324e-18,1.3154474955314791e-13,1.1882098978122219e-11,0.0,9.225489784323295e-09,2.955342690561003e-09
Learning,0.06387199513026258,0.2086175762596492,0.37613317180663874,0.2422773090088187,0.5817211123957295,3.771120113829784e-14,4.633994176106426e-12,5.09788605487371e-10,1.631500856561342e-09,9.073309282557636e-12,9.225489784323295e-09,0.0,7.249395917072492e-12
Reasoning,0.3306071924412683,0.4489278395876441,0.05727774440854895,0.5705627873908716,0.700337308077224,6.299181805930275e-18,4.017985666331366e-17,1.702369765039878e-11,9.437915604777571e-11,8.16821881841362e-18,2.955342690561003e-09,7.249395917072492e-12,0.0
