game_id,game_title,game_type,cognitive_skills,max_score,participants,mean_best_score,median_best_score,std_best_score,mean_average_score,median_average_score,std_average_score,total_plays,mean_play_count,mean_best_percent,mean_average_percent,median_average_percent
0,Cipher Rush,minigame,Attention;Reflex,250,3,0.42,0.5,0.2307,0.22,0.288,0.1391,6,2.0,42.0,22.0,28.8
1,Match-a-Mole,minigame,Reflex;Attention,300,4,0.6,0.6334,0.2019,0.5708,0.625,0.1691,5,1.25,60.0,57.0825,62.5
2,"Good Guy, Bad Guy",minigame,Memory,200,3,0.45,0.475,0.2385,0.4417,0.45,0.2376,4,1.3333,45.0,44.1667,45.0
3,Feed The Fishes,minigame,Memory;Attention,90,2,0.8611,0.8611,0.0393,0.7945,0.7945,0.0549,3,1.5,86.11,79.445,79.445
4,Train of Thoughts,minigame,Reflex;Reasoning,200,2,0.4,0.4,0.5303,0.325,0.325,0.4243,3,1.5,40.0,32.5,32.5
6,Wordify,minigame,Learning,70,2,0.2143,0.2143,0.101,0.2143,0.2143,0.101,3,1.5,21.43,21.43,21.43
7,Find Me If You Can,minigame,Perception,275,1,0.7091,0.7091,,0.7091,0.7091,,1,1.0,70.91,70.91,70.91
12,"Faster, Please",minigame,Reflex,200,1,0.785,0.785,,0.785,0.785,,1,1.0,78.5,78.5,78.5
13,Wordle,minigame,Learning;Reasoning,170,1,0.4118,0.4118,,0.4118,0.4118,,1,1.0,41.18,41.18,41.18
18,Stop The Clock,minigame,Reflex,800,1,0.2138,0.2138,,0.2138,0.2138,,1,1.0,21.38,21.38,21.38
19,Odd One Out,minigame,Reasoning,175,1,0.5143,0.5143,,0.2457,0.2457,,3,3.0,51.43,24.57,24.57
30,Level 1,level,Reflex;Attention,95,1,1.0,1.0,,1.0,1.0,,2,2.0,100.0,100.0,100.0
