metric,value
Total players,47.0
Total games in dataset,25.0
Games with participation,25.0
Player-game records,628.0
Total plays,1383.0
Mean games per player,13.361702127659575
Median games per player,15.0
Mean plays per player,29.425531914893618
Median plays per player,25.0
Mean normalized average performance,0.5022531847133759
Median normalized average performance,0.515
SD normalized average performance,0.294532234241662
Mean normalized best performance,0.5700549363057326
Median normalized best performance,0.571
SD normalized best performance,0.27224175798760364
