player_id,age,gender,country,favorite_genre,weekly_gaming_hours,sleep_hours_last_night,games_played,total_plays,mean_average_score,median_average_score,std_average_score,mean_best_score,median_best_score,mean_best_average_gap,mean_average_percent,median_average_percent,mean_best_percent,mean_best_average_gap_percent
077bcac6-9226-4522-b11c-85f5d5a32cd1,31,Male,Bangladesh,Stealth,8,5,7,11,0.4403,0.43,0.0362,0.4641,0.44,0.0237,44.0329,43.0,46.4071,2.3743
093af538-a039-4ea3-b6b6-d1243b9e0b1a,24,Male,Bangladesh,Puzzle,50,8,9,9,0.7219,0.73,0.0404,0.7219,0.73,0.0,72.1933,73.0,72.1933,0.0
0bf036d7-653e-4845-b973-cccc45b51984,21,Male,Bangladesh,Stealth,10,1,10,16,0.4133,0.386,0.0662,0.4633,0.483,0.05,41.33,38.6,46.334,5.004
116cc9df-3972-418f-8b08-06dbc9fdb86b,21,Male,Bangladesh,Action,22,7,18,54,0.6234,0.6211,0.0205,0.6582,0.6632,0.0348,62.3406,62.11,65.8172,3.4767
11e71038-d788-41ef-94c1-8a710d21ddaf,24,Male,Bangladesh,Action,0,6,3,3,0.5694,0.575,0.0668,0.5694,0.575,0.0,56.9433,57.5,56.9433,0.0
1d638396-0c39-4bb7-9ac6-68bc1a59d585,22,Male,Bangladesh,Stealth,28,4,25,92,0.4681,0.46,0.0488,0.5092,0.5125,0.0411,46.8092,46.0,50.918,4.1088
2500f14f-bd64-4e2b-a235-f69ea95609ec,17,Male,Bangladesh,Action,15,3,17,23,0.3454,0.355,0.0318,0.3641,0.364,0.0188,34.5359,35.5,36.4118,1.8759
263c474c-b7dd-43c5-9557-4da49755a00d,22,Male,Bangladesh,RPG,28,8,24,42,0.6081,0.5805,0.1459,0.6397,0.61,0.0317,60.8058,58.055,63.9729,3.1671
2a38dbe1-3ef4-4e4e-b02b-c2871e68216b,19,Male,Bangladesh,Strategy,10,5,9,24,0.5468,0.56,0.1198,0.6274,0.65,0.0806,54.6811,56.0,62.7378,8.0567
2f63d0f5-3731-4e44-87b3-2e5ba8b306d6,26,Male,Bangladesh,Stealth,20,5,3,4,0.6611,0.6471,0.0974,0.6807,0.7059,0.0196,66.1067,64.71,68.0667,1.96
33d08ff5-31e3-44b9-9100-e1ae687fd601,24,Male,Bangladesh,Strategy,20,6,1,1,0.5714,0.5714,,0.5714,0.5714,0.0,57.14,57.14,57.14,0.0
3477a1f7-268c-4987-8614-5a1ac6bbbfec,30,Male,Bangladesh,Stealth,20,6,20,27,0.4598,0.4575,0.0457,0.4855,0.4695,0.0257,45.9775,45.75,48.548,2.5705
354e20d4-599b-42fc-a2b0-122ca4feb2d9,25,Male,Bangladesh,Action,35,5,17,24,0.5339,0.525,0.0229,0.5408,0.5474,0.0068,53.3947,52.5,54.0765,0.6818
364223cd-b583-4eeb-87c7-478c7c0debf4,33,Male,Bangladesh,Action,5,7,11,31,0.5854,0.55,0.1257,0.6315,0.6,0.0461,58.5409,55.0,63.1545,4.6136
36f8a2f6-7625-4ceb-aca1-6949807b6339,24,Male,Bangladesh,Action,0,7,8,14,0.6005,0.6005,0.026,0.6426,0.6524,0.0421,60.0488,60.05,64.2638,4.215
3b1b8792-4d96-47cb-ab4b-86aae21e1ace,18,Male,Bangladesh,Action,0,5,25,53,0.6213,0.6429,0.1617,0.6613,0.725,0.04,62.1308,64.29,66.128,3.9972
42e366fd-7fbd-4312-ae4b-f4856249d7b5 (1),25,Male,Bangladesh,Stealth,28,7,15,22,0.5544,0.54,0.0432,0.5714,0.58,0.017,55.4407,54.0,57.1447,1.704
45eac662-3ea6-4f0a-a327-18910895411d,30,Male,Bangladesh,Strategy,22,9,8,23,0.7527,0.7804,0.0661,0.8148,0.8413,0.0621,75.2738,78.035,81.48,6.2062
4b128ac4-f4f1-43d6-8973-602d566d7c96,28,Male,Bangladesh,Action,25,7,11,27,0.7618,0.775,0.0869,0.7902,0.8333,0.0284,76.1773,77.5,79.0209,2.8436
4d6edd3c-f110-45e5-ab53-2b4063a425c0,23,Male,Bangladesh,Stealth,30,1,21,38,0.6232,0.6632,0.1577,0.65,0.6767,0.0268,62.3233,66.32,65.0038,2.6805
517b9976-d2ab-40bb-b250-cfce5e299567,35,Male,Bangladesh,Action,35,6,11,39,0.2045,0.1,0.245,0.2701,0.2,0.0656,20.4455,10.0,27.0055,6.56
531f7fa4-c3a8-4bd6-abc5-df42340b1a3c,32,Male,Bangladesh,Action,20,9,24,60,0.5001,0.529,0.1487,0.5893,0.5944,0.0892,50.0104,52.9,58.9267,8.9162
5414e0d6-f807-44bb-948c-00eb2056c359,21,Male,Bangladesh,Stealth,28,9,7,13,0.5652,0.5412,0.0803,0.6526,0.6571,0.0874,56.52,54.12,65.2557,8.7357
54716eaf-ebd2-4b23-8374-4a9e022d81ad (1),24,Male,Bangladesh,Action,5,7,4,7,0.8535,0.8334,0.0659,0.8723,0.8708,0.0188,85.3525,83.335,87.2275,1.875
5584c4ec-9108-479e-885a-ec94c3badae0,22,Male,Bangladesh,Puzzle,35,8,12,26,0.694,0.6854,0.0349,0.7148,0.6928,0.0208,69.4033,68.535,71.48,2.0767
578f0064-ba44-4300-ba13-5bfa94e295aa,22,Male,Bangladesh,Stealth,25,6,15,22,0.4788,0.456,0.0747,0.5334,0.56,0.0545,47.884,45.6,53.3353,5.4513
5aa663da-2ff5-44a1-9b9b-bfbc1e981d0e,16,Male,Bangladesh,Puzzle,10,11,21,41,0.3583,0.3579,0.0253,0.3777,0.36,0.0194,35.8267,35.79,37.7667,1.94
